商品ID,商品名称,类别,描述,价格,销量,评分,库存,上架时间,用户评论
P850524,OPPO 婴儿奶粉 Pro,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,279.46,345,3.5,273,2025-01-24,有点小瑕疵，但总体还行
P353092,小米 纸尿裤 Pro,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,779.03,342,5.0,321,2024-03-19,质量很好，非常满意
P321868,小米 洗发水 青春版,洗发水,新款知名品牌 洗发水，采用先进工艺，品质保证。,723.78,319,4.5,260,2024-02-23,质量很好，非常满意
P337327,OPPO 婴儿奶粉 经典款,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,802.1,367,5.0,798,2023-11-24,质量很好，非常满意
P383283,OPPO 台灯 Pro,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,483.07,107,4.5,900,2024-01-11,质量很好，非常满意
P241431,OPPO 运动鞋 青春版,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,1280.75,283,1.5,511,2025-06-27,不太符合预期
P505292,苹果 咖啡 经典款,咖啡,新款知名品牌 咖啡，采用先进工艺，品质保证。,828.54,487,4.0,528,2025-06-30,用起来很方便，推荐
P605032,小米 纸尿裤 Pro,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,586.35,272,3.5,611,2025-04-29,和描述的一致，不错
P423043,百草味 休闲零食 经典款,休闲零食,徐福记出品休闲零食，深受消费者喜爱，口碑之选。,754.9,44,1.5,718,2024-10-17,不太符合预期
P966689,SK-II 保湿面霜 Pro,保湿面霜,雅诗兰黛 保湿面霜，精选优质材料，适合各类人群使用。,792.36,441,4.5,374,2023-10-23,质量很好，非常满意
P807291,小米 智能手表 Pro,智能手表,知名品牌出品智能手表，深受消费者喜爱，口碑之选。,583.76,2394,2.5,704,2025-03-17,不太符合预期
P673422,雅诗兰黛 保湿面霜 新款,保湿面霜,雅诗兰黛出品保湿面霜，深受消费者喜爱，口碑之选。,127.2,67,3.0,885,2024-04-07,和描述的一致，不错
P989433,OPPO 水果礼盒 新款,水果礼盒,知名品牌出品水果礼盒，深受消费者喜爱，口碑之选。,47.67,325,2.5,67,2024-01-31,不太符合预期
P865881,小米 婴儿奶粉 青春版,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,934.5,90,4.5,833,2024-11-27,用起来很方便，推荐
P409557,小米 电饭煲 经典款,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,264.49,4727,2.5,6,2024-07-18,不太符合预期
P597530,苹果 运动鞋 Pro,运动鞋,知名品牌出品运动鞋，深受消费者喜爱，口碑之选。,439.5,469,3.0,48,2024-09-07,和描述的一致，不错
P149438,华为 婴儿车 青春版,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,995.16,223,3.0,754,2023-12-27,有点小瑕疵，但总体还行
P484534,vivo 智能手表 新款,智能手表,知名品牌 智能手表，精选优质材料，适合各类人群使用。,2458.13,272,3.5,166,2023-10-02,有点小瑕疵，但总体还行
P864084,vivo 女士连衣裙 新款,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,291.59,3647,4.5,255,2024-06-30,性价比高，值得购买
P659111,华为 牛奶 青春版,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,829.89,15592,4.5,67,2025-01-28,用起来很方便，推荐
P815851,华为 咖啡 青春版,咖啡,新款知名品牌 咖啡，采用先进工艺，品质保证。,816.98,487,2.0,231,2024-07-01,不太符合预期
P952974,苹果 防晒霜 Pro,防晒霜,新款知名品牌 防晒霜，采用先进工艺，品质保证。,988.25,911,4.5,23,2025-01-17,质量很好，非常满意
P406696,vivo 防晒霜 新款,防晒霜,新款知名品牌 防晒霜，采用先进工艺，品质保证。,548.42,382,4.5,120,2024-03-14,质量很好，非常满意
P653465,水星家纺 床上四件套 Pro,床上四件套,水星家纺出品床上四件套，深受消费者喜爱，口碑之选。,360.58,68,3.5,746,2025-06-28,有点小瑕疵，但总体还行
P670129,OPPO 婴儿奶粉 Pro,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,594.19,31,4.0,612,2023-12-06,用起来很方便，推荐
P421024,华为 台灯 Pro,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,591.83,19,3.0,192,2023-12-02,有点小瑕疵，但总体还行
P728655,杰克琼斯 男士T恤 青春版,男士T恤,耐克 男士T恤，精选优质材料，适合各类人群使用。,204.07,361,4.5,495,2024-07-01,用起来很方便，推荐
P975850,相宜本草 保湿面霜 Pro,保湿面霜,相宜本草出品保湿面霜，深受消费者喜爱，口碑之选。,819.03,405,4.5,315,2025-02-03,用起来很方便，推荐
P933647,华为 纸尿裤 经典款,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,886.55,57,5.0,570,2024-03-13,用起来很方便，推荐
P364485,相宜本草 保湿面霜 新款,保湿面霜,新款雅诗兰黛 保湿面霜，采用先进工艺，品质保证。,1027.72,225,3.5,227,2024-09-05,和描述的一致，不错
P239624,华为 水果礼盒 经典款,水果礼盒,知名品牌出品水果礼盒，深受消费者喜爱，口碑之选。,765.28,243,4.5,57,2024-10-13,性价比高，值得购买
P102796,雅诗兰黛 保湿面霜 青春版,保湿面霜,新款相宜本草 保湿面霜，采用先进工艺，品质保证。,893.78,13,5.0,987,2025-03-15,用起来很方便，推荐
P369828,小米 牛奶 经典款,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,161.43,251,3.5,924,2023-10-17,有点小瑕疵，但总体还行
P421957,华为 台灯 新款,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,91.77,401,2.5,219,2023-11-27,不太符合预期
P649526,华为 防晒霜 新款,防晒霜,新款知名品牌 防晒霜，采用先进工艺，品质保证。,357.8,445,1.5,498,2023-08-30,不太符合预期
P408183,雅诗兰黛 保湿面霜 Pro,保湿面霜,资生堂出品保湿面霜，深受消费者喜爱，口碑之选。,1721.02,276,3.5,988,2025-01-10,有点小瑕疵，但总体还行
P864700,小米 平板电脑 经典款,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,4916.28,148,3.0,329,2025-05-16,有点小瑕疵，但总体还行
P341309,联想 笔记本电脑 经典款,笔记本电脑,苹果 笔记本电脑，精选优质材料，适合各类人群使用。,6338.95,327,3.5,92,2023-11-07,有点小瑕疵，但总体还行
P167713,苹果 电饭煲 Pro,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,308.67,285,3.5,983,2024-07-19,和描述的一致，不错
P297643,资生堂 保湿面霜 经典款,保湿面霜,新款SK-II 保湿面霜，采用先进工艺，品质保证。,164.07,230,3.5,958,2025-01-13,和描述的一致，不错
P261185,OPPO 纸尿裤 新款,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,127.57,16862,4.5,633,2024-10-05,用起来很方便，推荐
P739981,vivo 婴儿车 经典款,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,752.42,1476,4.5,293,2025-01-27,性价比高，值得购买
P533773,华为 洗发水 青春版,洗发水,知名品牌 洗发水，精选优质材料，适合各类人群使用。,337.87,451,4.5,127,2024-08-06,质量很好，非常满意
P555408,杰克琼斯 男士T恤 Pro,男士T恤,耐克 男士T恤，精选优质材料，适合各类人群使用。,497.61,17897,5.0,728,2025-05-26,质量很好，非常满意
P574136,苹果 运动鞋 经典款,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,997.59,145,4.0,569,2023-12-23,用起来很方便，推荐
P370990,小米 婴儿奶粉 经典款,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,354.05,101,5.0,247,2025-03-27,性价比高，值得购买
P185564,戴尔 笔记本电脑 经典款,笔记本电脑,新款戴尔 笔记本电脑，采用先进工艺，品质保证。,12758.92,184,2.5,213,2024-03-11,不太符合预期
P676168,华为 笔记本电脑 新款,笔记本电脑,惠普 笔记本电脑，精选优质材料，适合各类人群使用。,10672.17,44,4.5,445,2023-08-30,用起来很方便，推荐
P738899,华为 口红 经典款,口红,新款知名品牌 口红，采用先进工艺，品质保证。,444.23,489,4.0,143,2025-05-27,质量很好，非常满意
P991856,苹果 牛奶 青春版,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,700.91,4657,2.0,96,2023-10-05,不太符合预期
P512550,H&M 男士T恤 青春版,男士T恤,优衣库 男士T恤，精选优质材料，适合各类人群使用。,329.32,331,5.0,388,2025-06-26,用起来很方便，推荐
P543511,华为 智能手表 Pro,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,2795.13,3376,4.0,791,2024-03-11,用起来很方便，推荐
P833683,苹果 洗发水 经典款,洗发水,知名品牌 洗发水，精选优质材料，适合各类人群使用。,402.86,920,4.5,124,2025-02-18,质量很好，非常满意
P775107,OPPO 智能手表 新款,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,2639.88,11986,2.5,327,2024-08-03,不太符合预期
P164457,兰蔻 保湿面霜 新款,保湿面霜,相宜本草 保湿面霜，精选优质材料，适合各类人群使用。,366.95,176,4.0,335,2024-01-24,用起来很方便，推荐
P477309,小米 洗发水 Pro,洗发水,知名品牌出品洗发水，深受消费者喜爱，口碑之选。,221.68,5,4.5,145,2024-08-30,性价比高，值得购买
P575864,苹果 口红 Pro,口红,新款知名品牌 口红，采用先进工艺，品质保证。,85.53,273,4.5,322,2024-10-04,性价比高，值得购买
P170957,联想 笔记本电脑 青春版,笔记本电脑,联想出品笔记本电脑，深受消费者喜爱，口碑之选。,13601.93,3263,4.0,396,2023-11-03,质量很好，非常满意
P200799,OPPO 女士连衣裙 Pro,女士连衣裙,知名品牌出品女士连衣裙，深受消费者喜爱，口碑之选。,689.12,2777,4.5,820,2025-05-11,质量很好，非常满意
P332408,小米 电饭煲 新款,电饭煲,知名品牌 电饭煲，精选优质材料，适合各类人群使用。,803.88,453,4.0,621,2024-02-13,性价比高，值得购买
P460970,OPPO 牛奶 青春版,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,516.61,489,4.0,733,2024-05-05,性价比高，值得购买
P838582,vivo 婴儿车 青春版,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,595.92,325,5.0,135,2024-08-14,用起来很方便，推荐
P870807,联想 笔记本电脑 经典款,笔记本电脑,新款华为 笔记本电脑，采用先进工艺，品质保证。,5178.3,425,4.5,689,2024-01-08,性价比高，值得购买
P695002,苹果 咖啡 青春版,咖啡,知名品牌 咖啡，精选优质材料，适合各类人群使用。,746.95,3469,2.0,576,2025-06-14,不太符合预期
P543951,华为 纸尿裤 青春版,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,307.5,15,5.0,549,2025-08-09,性价比高，值得购买
P696063,华为 台灯 经典款,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,903.76,317,3.0,574,2024-08-27,有点小瑕疵，但总体还行
P619790,苹果 儿童玩具 Pro,儿童玩具,知名品牌出品儿童玩具，深受消费者喜爱，口碑之选。,522.38,132,4.5,377,2024-02-16,性价比高，值得购买
P354907,小米 牛仔裤 经典款,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,139.96,244,4.5,477,2025-01-18,质量很好，非常满意
P288566,多喜爱 床上四件套 新款,床上四件套,梦洁出品床上四件套，深受消费者喜爱，口碑之选。,650.23,1385,4.0,645,2024-01-21,用起来很方便，推荐
P109574,vivo 婴儿奶粉 新款,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,538.75,202,3.0,109,2024-03-13,有点小瑕疵，但总体还行
P572948,OPPO 智能手表 青春版,智能手表,知名品牌出品智能手表，深受消费者喜爱，口碑之选。,2932.08,2891,4.0,142,2024-11-18,性价比高，值得购买
P884675,联想 笔记本电脑 经典款,笔记本电脑,新款华为 笔记本电脑，采用先进工艺，品质保证。,4169.22,408,4.5,979,2023-10-07,用起来很方便，推荐
P458166,苹果 平板电脑 青春版,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,2697.23,413,5.0,632,2023-09-05,用起来很方便，推荐
P976546,苹果 口红 经典款,口红,新款知名品牌 口红，采用先进工艺，品质保证。,326.58,352,4.5,515,2024-03-06,质量很好，非常满意
P599245,雅诗兰黛 保湿面霜 Pro,保湿面霜,SK-II 保湿面霜，精选优质材料，适合各类人群使用。,115.75,3259,4.0,674,2024-08-13,用起来很方便，推荐
P173400,洽洽 休闲零食 经典款,休闲零食,百草味出品休闲零食，深受消费者喜爱，口碑之选。,554.36,28,4.0,899,2025-06-15,质量很好，非常满意
P181065,华为 婴儿奶粉 新款,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,826.66,4493,4.5,846,2023-09-06,性价比高，值得购买
P649576,小米 牛仔裤 经典款,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,757.48,3,4.0,705,2024-05-11,质量很好，非常满意
P679377,苹果 口红 经典款,口红,知名品牌 口红，精选优质材料，适合各类人群使用。,87.11,2932,3.0,678,2025-01-16,有点小瑕疵，但总体还行
P344046,OPPO 牛仔裤 经典款,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,743.67,439,4.0,453,2025-07-16,质量很好，非常满意
P167442,苹果 咖啡 经典款,咖啡,知名品牌出品咖啡，深受消费者喜爱，口碑之选。,918.64,3818,4.5,938,2024-09-23,性价比高，值得购买
P840839,vivo 牛仔裤 新款,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,666.72,13,2.5,189,2024-02-04,不太符合预期
P131068,资生堂 保湿面霜 新款,保湿面霜,雅诗兰黛出品保湿面霜，深受消费者喜爱，口碑之选。,1314.58,2380,5.0,775,2024-07-04,质量很好，非常满意
P376822,苹果 纸尿裤 青春版,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,48.73,451,2.5,118,2023-09-18,不太符合预期
P841712,OPPO 防晒霜 经典款,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,636.37,170,4.0,6,2025-06-30,质量很好，非常满意
P278518,OPPO 女士连衣裙 Pro,女士连衣裙,新款知名品牌 女士连衣裙，采用先进工艺，品质保证。,211.08,66,4.0,325,2023-09-11,用起来很方便，推荐
P642692,小米 纸尿裤 青春版,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,505.7,456,4.5,798,2024-07-16,性价比高，值得购买
P182384,vivo 咖啡 Pro,咖啡,知名品牌出品咖啡，深受消费者喜爱，口碑之选。,425.4,494,2.5,945,2025-06-10,不太符合预期
P318240,vivo 儿童玩具 经典款,儿童玩具,知名品牌出品儿童玩具，深受消费者喜爱，口碑之选。,74.82,3613,4.5,507,2025-07-07,用起来很方便，推荐
P415193,资生堂 保湿面霜 经典款,保湿面霜,资生堂 保湿面霜，精选优质材料，适合各类人群使用。,743.44,351,2.5,566,2025-04-14,不太符合预期
P244353,OPPO 纸尿裤 经典款,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,109.69,3464,4.0,675,2024-07-12,用起来很方便，推荐
P390147,华为 牛奶 Pro,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,822.61,268,3.5,282,2024-11-20,有点小瑕疵，但总体还行
P262490,vivo 智能手机 青春版,智能手机,新款小米 智能手机，采用先进工艺，品质保证。,6019.0,295,5.0,255,2024-04-16,性价比高，值得购买
P353533,苹果 口红 青春版,口红,新款知名品牌 口红，采用先进工艺，品质保证。,222.82,2089,5.0,110,2024-06-09,性价比高，值得购买
P990336,苹果 防晒霜 Pro,防晒霜,新款知名品牌 防晒霜，采用先进工艺，品质保证。,445.56,175,5.0,642,2025-07-22,质量很好，非常满意
P524344,小米 台灯 青春版,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,383.96,33,4.0,261,2025-02-10,性价比高，值得购买
P966919,小米 口红 新款,口红,新款知名品牌 口红，采用先进工艺，品质保证。,480.89,236,5.0,487,2025-03-09,用起来很方便，推荐
P543007,vivo 口红 新款,口红,知名品牌 口红，精选优质材料，适合各类人群使用。,444.92,637,5.0,366,2025-07-31,性价比高，值得购买
P790597,苹果 运动鞋 青春版,运动鞋,知名品牌出品运动鞋，深受消费者喜爱，口碑之选。,561.27,372,3.0,73,2024-08-04,和描述的一致，不错
P166866,OPPO 儿童玩具 新款,儿童玩具,知名品牌 儿童玩具，精选优质材料，适合各类人群使用。,621.12,238,4.5,415,2024-03-18,性价比高，值得购买
P214389,苹果 牛奶 Pro,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,541.61,126,4.5,103,2024-05-28,性价比高，值得购买
P343802,小米 智能手表 Pro,智能手表,知名品牌 智能手表，精选优质材料，适合各类人群使用。,1626.12,101,4.0,378,2024-07-29,质量很好，非常满意
P207664,小米 咖啡 经典款,咖啡,知名品牌 咖啡，精选优质材料，适合各类人群使用。,796.62,2405,4.5,63,2025-07-26,质量很好，非常满意
P313462,OPPO 电饭煲 经典款,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,929.63,263,4.0,566,2025-01-30,用起来很方便，推荐
P190138,vivo 口红 Pro,口红,知名品牌 口红，精选优质材料，适合各类人群使用。,426.04,426,3.5,786,2024-08-12,和描述的一致，不错
P878881,SK-II 保湿面霜 青春版,保湿面霜,新款兰蔻 保湿面霜，采用先进工艺，品质保证。,1222.18,388,3.0,35,2024-05-21,和描述的一致，不错
P999862,华为 婴儿奶粉 Pro,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,168.35,228,5.0,651,2025-07-01,用起来很方便，推荐
P743305,耐克 男士T恤 经典款,男士T恤,ZARA出品男士T恤，深受消费者喜爱，口碑之选。,91.34,1389,2.0,642,2023-08-17,不太符合预期
P960547,OPPO 咖啡 新款,咖啡,知名品牌出品咖啡，深受消费者喜爱，口碑之选。,947.43,387,2.5,764,2023-10-03,不太符合预期
P552610,苹果 纸尿裤 青春版,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,305.92,182,4.5,652,2024-04-06,质量很好，非常满意
P447665,OPPO 电饭煲 Pro,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,253.58,226,3.5,159,2024-06-18,有点小瑕疵，但总体还行
P940919,华为 咖啡 经典款,咖啡,知名品牌 咖啡，精选优质材料，适合各类人群使用。,931.14,379,4.0,415,2023-12-21,质量很好，非常满意
P171914,vivo 牛奶 青春版,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,678.72,245,4.0,693,2024-04-24,质量很好，非常满意
P481288,苹果 纸尿裤 新款,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,24.25,168,4.0,487,2025-02-21,质量很好，非常满意
P249696,罗莱家纺 床上四件套 经典款,床上四件套,新款富安娜 床上四件套，采用先进工艺，品质保证。,934.04,2156,4.0,976,2024-01-13,用起来很方便，推荐
P419575,OPPO 婴儿奶粉 Pro,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,810.83,2257,1.5,9,2025-04-17,不太符合预期
P132248,OPPO 智能手机 新款,智能手机,新款华为 智能手机，采用先进工艺，品质保证。,6164.4,4923,5.0,554,2023-11-19,性价比高，值得购买
P599449,梦洁 床上四件套 新款,床上四件套,水星家纺 床上四件套，精选优质材料，适合各类人群使用。,318.92,66,2.5,94,2024-07-04,不太符合预期
P874419,小米 婴儿奶粉 青春版,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,181.39,186,4.5,367,2024-02-10,性价比高，值得购买
P581517,vivo 纸尿裤 青春版,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,223.91,216,4.5,1000,2024-11-20,用起来很方便，推荐
P629618,苹果 牛奶 青春版,牛奶,知名品牌 牛奶，精选优质材料，适合各类人群使用。,95.23,274,4.5,521,2025-08-02,用起来很方便，推荐
P309341,华为 婴儿奶粉 经典款,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,464.49,4026,4.5,82,2025-07-26,用起来很方便，推荐
P198436,OPPO 纸尿裤 经典款,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,98.02,299,2.5,420,2024-11-29,不太符合预期
P435796,华为 平板电脑 青春版,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,3705.04,59,2.5,810,2025-03-10,不太符合预期
P630541,小米 洗发水 青春版,洗发水,知名品牌 洗发水，精选优质材料，适合各类人群使用。,283.73,371,5.0,96,2023-08-23,用起来很方便，推荐
P703642,vivo 洗发水 新款,洗发水,新款知名品牌 洗发水，采用先进工艺，品质保证。,40.71,115,4.0,502,2024-08-28,用起来很方便，推荐
P685467,水星家纺 床上四件套 新款,床上四件套,水星家纺 床上四件套，精选优质材料，适合各类人群使用。,205.2,232,3.5,790,2023-11-18,有点小瑕疵，但总体还行
P819558,vivo 口红 青春版,口红,新款知名品牌 口红，采用先进工艺，品质保证。,383.07,75,3.5,69,2024-06-24,和描述的一致，不错
P417153,苹果 儿童玩具 青春版,儿童玩具,知名品牌 儿童玩具，精选优质材料，适合各类人群使用。,503.49,47,3.5,900,2025-08-02,有点小瑕疵，但总体还行
P998241,三只松鼠 休闲零食 Pro,休闲零食,三只松鼠出品休闲零食，深受消费者喜爱，口碑之选。,883.04,477,3.5,962,2025-02-28,有点小瑕疵，但总体还行
P280939,华为 平板电脑 Pro,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,5602.01,259,3.5,62,2025-02-28,和描述的一致，不错
P260649,雅诗兰黛 保湿面霜 Pro,保湿面霜,兰蔻 保湿面霜，精选优质材料，适合各类人群使用。,155.16,4124,4.5,430,2024-09-24,性价比高，值得购买
P106239,苹果 吸尘器 经典款,吸尘器,知名品牌 吸尘器，精选优质材料，适合各类人群使用。,454.9,71,3.0,197,2025-07-12,和描述的一致，不错
P675572,OPPO 智能手表 新款,智能手表,知名品牌 智能手表，精选优质材料，适合各类人群使用。,1182.63,3253,5.0,307,2025-04-09,质量很好，非常满意
P398229,OPPO 防晒霜 经典款,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,407.58,332,4.5,243,2024-09-27,性价比高，值得购买
P112742,苹果 牛仔裤 经典款,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,650.93,2500,4.5,882,2024-04-08,性价比高，值得购买
P503726,OPPO 口红 Pro,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,415.6,358,4.5,960,2025-03-09,性价比高，值得购买
P353667,苹果 运动鞋 Pro,运动鞋,新款知名品牌 运动鞋，采用先进工艺，品质保证。,1396.27,1975,3.0,122,2024-06-29,有点小瑕疵，但总体还行
P331824,苹果 纸尿裤 Pro,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,724.01,249,4.0,91,2024-04-17,用起来很方便，推荐
P610019,OPPO 防晒霜 经典款,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,680.36,3098,3.0,609,2024-06-14,和描述的一致，不错
P921639,小米 婴儿车 新款,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,684.91,278,4.0,183,2025-02-03,性价比高，值得购买
P703823,vivo 婴儿奶粉 Pro,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,977.73,186,3.0,223,2024-12-13,有点小瑕疵，但总体还行
P533808,华为 智能手机 Pro,智能手机,新款苹果 智能手机，采用先进工艺，品质保证。,7489.4,478,5.0,893,2024-10-09,用起来很方便，推荐
P710550,vivo 水果礼盒 新款,水果礼盒,新款知名品牌 水果礼盒，采用先进工艺，品质保证。,425.91,3095,4.5,428,2025-02-16,性价比高，值得购买
P602085,苹果 婴儿奶粉 青春版,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,386.72,2308,3.5,666,2024-10-23,有点小瑕疵，但总体还行
P673301,惠普 笔记本电脑 青春版,笔记本电脑,惠普出品笔记本电脑，深受消费者喜爱，口碑之选。,8326.29,493,5.0,275,2023-12-24,性价比高，值得购买
P152621,华为 运动鞋 Pro,运动鞋,知名品牌出品运动鞋，深受消费者喜爱，口碑之选。,565.05,154,2.0,880,2025-02-07,不太符合预期
P591320,华为 女士连衣裙 新款,女士连衣裙,知名品牌出品女士连衣裙，深受消费者喜爱，口碑之选。,414.61,66,3.5,478,2023-10-23,和描述的一致，不错
P596077,耐克 男士T恤 Pro,男士T恤,耐克 男士T恤，精选优质材料，适合各类人群使用。,186.99,2513,2.5,420,2025-04-17,不太符合预期
P768851,小米 平板电脑 青春版,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,4183.28,190,4.0,328,2024-04-23,用起来很方便，推荐
P308496,华为 纸尿裤 经典款,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,224.38,750,3.0,434,2024-01-09,有点小瑕疵，但总体还行
P690007,小米 儿童玩具 Pro,儿童玩具,知名品牌 儿童玩具，精选优质材料，适合各类人群使用。,532.02,2367,5.0,63,2024-02-27,质量很好，非常满意
P544597,水星家纺 床上四件套 经典款,床上四件套,多喜爱出品床上四件套，深受消费者喜爱，口碑之选。,305.69,497,3.5,399,2025-06-16,有点小瑕疵，但总体还行
P634550,苹果 婴儿车 新款,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,910.47,283,3.5,268,2025-07-23,和描述的一致，不错
P750220,小米 婴儿车 新款,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,63.93,151,5.0,918,2024-04-19,质量很好，非常满意
P787635,OPPO 智能手机 新款,智能手机,苹果出品智能手机，深受消费者喜爱，口碑之选。,6348.57,3348,3.0,395,2024-05-11,和描述的一致，不错
P909184,苹果 婴儿车 青春版,婴儿车,知名品牌 婴儿车，精选优质材料，适合各类人群使用。,457.45,428,3.0,472,2025-02-07,有点小瑕疵，但总体还行
P120160,华为 水果礼盒 青春版,水果礼盒,知名品牌 水果礼盒，精选优质材料，适合各类人群使用。,915.8,2431,5.0,897,2025-01-15,质量很好，非常满意
P945911,小米 防晒霜 Pro,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,891.57,202,2.5,342,2023-12-02,不太符合预期
P780952,华为 电饭煲 新款,电饭煲,知名品牌 电饭煲，精选优质材料，适合各类人群使用。,406.56,2796,5.0,314,2023-08-17,用起来很方便，推荐
P984363,华为 牛奶 新款,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,766.19,320,3.0,434,2024-10-19,有点小瑕疵，但总体还行
P597092,苹果 平板电脑 新款,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,2622.27,3467,3.5,605,2024-01-16,和描述的一致，不错
P601940,华为 女士连衣裙 Pro,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,927.57,3703,5.0,86,2025-07-12,质量很好，非常满意
P674259,小米 纸尿裤 新款,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,62.01,50,4.0,442,2024-11-23,性价比高，值得购买
P548405,水星家纺 床上四件套 新款,床上四件套,多喜爱出品床上四件套，深受消费者喜爱，口碑之选。,765.99,244,3.5,581,2024-08-24,有点小瑕疵，但总体还行
P959897,小米 平板电脑 Pro,平板电脑,知名品牌出品平板电脑，深受消费者喜爱，口碑之选。,2025.34,54,4.5,408,2024-12-13,质量很好，非常满意
P802199,梦洁 床上四件套 Pro,床上四件套,多喜爱 床上四件套，精选优质材料，适合各类人群使用。,588.93,53,2.5,526,2024-04-05,不太符合预期
